"","no.","block","accuracy","image","Valence.ratings","arousal.ratings","verifications","description","Order","SentimentScore"
"87",487,"Scene9",0.0293014626950026,"Sunset.4","Somewhat Positive","Somewhat Low","Lie","there is the inside of a wardrobe with many clothes hanging up inside. The pole they are hanging from is a shiny silver metal and the wardrobe is made out of a light coloured wood. Most of the clothes are bright colours.","9",0.155066402472021
"88",401,"Person6",0.0889381095767021,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","A man climbing up a rock face. He has shorts on.","1",0
"89",402,"Person6",0.0750938281416893,"Rock.climbing.2","Neutral","Neither low nor High","Lie","A man doing extreme ironing in a rocky mountainous area. He's ironing out the crevases in the mountain","30",-0.0365306913156584
"90",403,"Person6",0.040906798094511,"Rock.climbing.2","Somewhat Negative","Somewhat High","Tell the truth ","Someone who will have sore hands afterwards","28",0
"91",404,"Person6",0.0336795449256897,"Rock.climbing.2","Very Positive","Somewhat Low","Lie","A women sailing a boat","28",0
"92",405,"Person6",0.0622497014701366,"Rock.climbing.2","Moderately Negative","Moderately High","Lie","Young woman battles to free arms and legs from marauding rock creature","21",0.0375995941631106
"93",406,"Person6",0.0763675644993782,"Rock.climbing.2","Somewhat Negative","Moderately High","Tell the truth ","a rock climber","23",0
"94",407,"Person6",0.0554553084075451,"Rock.climbing.2","Moderately Positive","Moderately High","Lie","This is a picture of a monkey hanging from a branch. It is holding on with one arm. It is brown.","24",-0.0114577824784065
"95",408,"Person6",0.0558149367570877,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","A good climb","31",0.130002210921954
"96",409,"Person6",0.0846710503101349,"Rock.climbing.2","Neutral","Somewhat High","Tell the truth ","This man is climbing a rock face. He is strapped on in case he falls. He is wearing shorts and a long sleeved black top ","6",0.0271426127615898
"97",410,"Person6",0.0426686778664589,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Lie","Toddler climbing over his gate. ","6",0
"98",411,"Person6",0.0358040779829025,"Rock.climbing.2","Very Negative","Moderately High","Lie","It looks like someone is enjoying a nice piece of coffee & walnut cake. They are in a cafe. ","24",0.107258938244854
"99",412,"Person6",0.0791497975587845,"Rock.climbing.2","Somewhat Negative","Somewhat High","Tell the truth ","A man scaling a cliff","21",0
"100",413,"Person6",0.0977413058280945,"Rock.climbing.2","Moderately Negative","Moderately High","Tell the truth ","Man rock climbing on a cliff edge","7",0
"101",414,"Person6",0.0224045664072037,"Rock.climbing.2","Moderately Positive","Very High","Lie","someone sailing in the sea ","8",0
"102",415,"Person6",0.0463775657117367,"Rock.climbing.2","Somewhat Negative","Moderately High","Lie","This is a picture of a man cycling in the forest. He has a yellow and blue helmet on with black shorts and a black top. He has sunglasses on.","30",0.00964630225080386
"103",416,"Person6",0.0887521505355835,"Rock.climbing.2","Neutral","Somewhat High","Tell the truth ","A man is rock climbing, his back to the ground . He has rope securing him. The cliff fave has many crevices and hole, and the rock changes colour from black to beige.","30",0.0294488925238127
"104",417,"Person6",0.107848711311817,"Rock.climbing.2","Moderately Negative","Moderately High","Tell the truth ","There is a man holding onto a cliffside with one hand. The other hand is held awaw from the cliff. He has several ropes tied around him.The rocks vary in colours, the top part light, and the bottom part dark. ","0",0.0274593557947958
"105",418,"Person6",0.0618959330022335,"Rock.climbing.2","Somewhat Negative","Very Low","Lie","A herd of white mountain goats climb the side of a cliff. Four are still on the ground. Seven are eating plants growing out of the side of the cliff at different places.","8",0
"106",419,"Person6",0.10316276550293,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","a climber on a cliffside attached with ropes. ","19",0
"107",420,"Person6",0.0716401860117912,"Rock.climbing.2","Somewhat Negative","Somewhat Low","Tell the truth ","There is a man scaling the side of a cliff","21",0
"108",421,"Person6",0.133076667785645,"Rock.climbing.2","Neutral","Neither low nor High","Tell the truth ","there is a mountain climber scaling a cliff, wearing harness with a black long-sleeved top and black shorts","16",0.0129943961666531
"109",422,"Person6",0.0195254907011986,"Rock.climbing.2","Somewhat Positive","Somewhat Low","Lie","There are some friends who appear to be at a bowling alley. One of them is rolling a bowling ball. the others are sat on a sofa. One of them is drinking water and there are fries in front of them. They are laughing. ","11",0
"110",423,"Person6",0.0700185522437096,"Rock.climbing.2","Neutral","Very Low","Lie","man falling off a cliff","21",0
"111",424,"Person6",0.0189634561538696,"Rock.climbing.2","Neutral","Neither low nor High","Lie","This is man sitting at a dinner table eating pasta on a white plate ","26",0
"112",425,"Person6",0.060324888676405,"Rock.climbing.2","Moderately Negative","Neither low nor High","Tell the truth ","A picture of a man climbing a mountain.","33",0
"113",426,"Person6",0.0891595631837845,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Tell the truth ","A man is cliff climbing and is practically upside down ","1",-0.0212387846213862
"114",427,"Person6",0.0225392356514931,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","The man is drinking coffee at a table in a busy cafe. ","21",0.0343361284425545
"115",428,"Person6",0.0970447361469269,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Tell the truth ","bloke climbing an inverted bit of a cave(?) wall","32",0
"116",429,"Person6",0.127923294901848,"Rock.climbing.2","Neutral","Neither low nor High","Tell the truth ","A man is rock climbing. He is holding himself up with his left hand, his right holding onto a cord. His is white with a buzzcut, wearing a black long sleeve shirt and black and green shorts, and black climbing shoes. The rock is pale yellow with brown patches. ","13",-0.0195039883117746
"117",430,"Person6",0.066940650343895,"Rock.climbing.2","Neutral","Moderately High","Tell the truth ","A brave man is climbing a huge rock and he is stuck","26",0.0821986619884465
"118",431,"Person6",0.114380970597267,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Lie","A woman rock climbing in a gym ","24",0
"119",432,"Person6",0.0865498706698418,"Rock.climbing.2","Neutral","Neither low nor High","Tell the truth ","A climber holding on by one arm ","19",0
"120",433,"Person6",0.0745737850666046,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","I can see a man rock climbing. He has wires attatched to him, they are green and pink. He is wearing black clothing.","1",-0.0367695338148391
"121",434,"Person6",0.0946806073188782,"Rock.climbing.2","Neutral","Somewhat Low","Lie","A woman sclaes a  jagged stone mountain without a harness. Has already scaled very high from the view of the sky and how far away the ground looks.","30",0.0405712669090604
"122",435,"Person6",0.0229693744331598,"Rock.climbing.2","Neutral","Moderately High","Lie","There is a white bowl containing spaghetti with meatballs and tomato sauce. There are chopped green herbs sprinkled on top. In the background there is an Italian flag. ","18",0.0204169817435454
"123",436,"Person6",0.0829248055815697,"Rock.climbing.2","Moderately Negative","Very High","Tell the truth ","Mountain climber climbing very steep mountainside. Has only a small amount of gear.","28",-0.00440713536201469
"124",437,"Person6",0.100301913917065,"Rock.climbing.2","Somewhat Negative","Somewhat High","Tell the truth ","Image of a man scaling what possibly could be a mountain. He almost appears to be having upside down, with one hand holing on and the other in the air. ","27",-0.0263113823710017
"125",438,"Person6",0.0890680104494095,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Lie","A woman is climbing on the cliff.","27",0
"126",439,"Person6",0.0164210852235556,"Rock.climbing.2","Neutral","Moderately Low","Lie","Picture of a camel being walked along by a middle eastern man, in some kind of desert with the sun behind them.","27",0.0147318884000994
"127",440,"Person6",0.104469157755375,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","There is a man who is rock climbing in the wild with green and pink ropes to keep him safe wrapped around him. He is wearing black tight clothing and has a beige rock behind him","6",-0.0128862205300923
"128",441,"Person6",0.0731356367468834,"Rock.climbing.2","Somewhat Negative","Neither low nor High","Tell the truth ","There is a man climbing up on a cave I presume. He looks like he is a professional.","23",0.0345147166917005
"129",442,"Person6",0.123765490949154,"Rock.climbing.2","Somewhat Negative","Moderately Low","Tell the truth ","A rock climber hangs treacherously from interestingly shaped rock wall. His right foot is raised above the rest of his body and is positioned in a small gap between the rocks. His left hand is holding onto the edge of another gap whilst is right hand is balled up into a fist.","12",0.0430064526047927
"130",443,"Person6",0.100423350930214,"Rock.climbing.2","Somewhat Negative","Moderately High","Tell the truth ","There is a man, climbing up a rock face. He is roped to the wall and is climbing vertically up it. He is wearing all black.","4",-0.034498960102774
"131",444,"Person6",0.0229889322072268,"Rock.climbing.2","Somewhat Negative","Somewhat High","Lie","In this image there are three girls. They are all swimming in the ocean. They are playing with a pink ball. One of the girls is wearing sunglasses and the other two girls are wearing goggles. It is sunny.","23",-0.0288137574257677
"132",445,"Person6",0.0389759056270123,"Rock.climbing.2","Neutral","Very Low","Lie","There is a large, chocolate coloured Labrador bounding down the slope of a field. He's ears a flapping in the wind, while he crushes poppies with his paws. He seems excited to meet or see a person dressed in denim who is at the bottom of the field. The dog isn't wearing a collar however there is an odd piece of material attached to it's back. It must be some sort of dog clothing.  ","1",0.0120011682115908
"133",446,"Person6",0.136371359229088,"Rock.climbing.2","Neutral","Somewhat High","Tell the truth ","The image shows a rock climber. The rock climber has short hair and is wearing black shorts, a black long-sleeved t-shirt and black climbing shoes. He is climbing a rock full of holes, and he's holding to the rock by some red and green ropes. ","6",-0.0176986385392536
"134",447,"Person6",0.094925120472908,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Tell the truth ","A man is rock-climbing. He is wearing a long-sleeve black t-shirts and a pair of black shorts. The wall os very steep. He only has his left hand grabbed on the wall.","15",-0.00554114838651159
"135",448,"Person6",0.036859106272459,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Lie","A woman running on a track","30",0
"136",449,"Person6",0.12227825820446,"Rock.climbing.2","Neutral","Somewhat High","Tell the truth ","A man rock climbing with one hand on the cliff face. ","6",0
"137",450,"Person6",0.106087744235992,"Rock.climbing.2","Neutral","Moderately High","Tell the truth ","It is an image of a man climbing a cliff face, he is wearing all black and is holding on to the cliff by his left hand and both legs, he is also attached by a harness and ropes. ","32",-0.0211711546714153
"138",451,"Person6",0.117398627102375,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Tell the truth ","A man is climbing a rock wall with equipment. He is wearing a black long-sleeved shirt and black shorts.","27",-0.0501462599247806
"139",452,"Person6",0.101489819586277,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","there is a man wearing a black top and shorts rock climbing. He has pink and green rope. there is some moss on the rock and a plant at the bottom","28",0.00294062047091937
"140",453,"Person6",0.0949698090553284,"Rock.climbing.2","Somewhat Positive","Somewhat High","Tell the truth ","A man rock climbing","16",0
"141",454,"Person6",0.0856021493673325,"Rock.climbing.2","Somewhat Positive","Moderately High","Tell the truth ","There is a man free climbing and hanging off an incline in an attempt to get over a section of a cliff wall.","27",0.0932602219247874
"142",455,"Person6",0.0471330657601357,"Rock.climbing.2","Somewhat Positive","Neither low nor High","Lie","A man demonstrates his webslinging ability at a Spiderman expo.","13",0
"143",456,"Person6",0.111856624484062,"Rock.climbing.2","Neutral","Somewhat High","Tell the truth ","There is a climber wearing a black top and black shorts. One of the ropes is green, another is orange and pink. He has a grey bag attached to his waist. There are plants at the bottom of the rocks.","4",-0.00792136247434558
"144",457,"Person6",0.126591682434082,"Rock.climbing.2","Moderately Positive","Somewhat High","Tell the truth ","A short-haired man is hanging off a cliff face, supported by green and red cords latched in place into the rock. He is holding on by his right arm and feet, while his other arm is clenched into a fist. The weather is mild, with a spot of sunshine.","1",0.0138802561827678
"145",458,"Person6",0.0461892150342464,"Rock.climbing.2","Somewhat Positive","Somewhat High","Lie","My friend after a few drinks scaling the nearest tree ","19",-0.0256172733614666
"146",459,"Person6",0.100755915045738,"Rock.climbing.2","Neutral","Neither low nor High","Tell the truth ","a rock climber with a gree waitsband","28",0
"147",460,"Person6",0.114441603422165,"Rock.climbing.2","Very Positive","Very High","Tell the truth ","Here is a man rick climbing. He is climbing an overhanging rock face. He had ropes and chalk tied to him. He is attached to the rock face. The rock has different shades of layers of sediment and small plants growing out of the side of the rock.","26",-0.0222035323801514
