"","no.","block","accuracy","image","description","verifications","Valence_mean","Arousal_mean","Order","SentimentScore"
"23",23,"Animal3",0.100016184151173,"Snake.5","Its is a snake it is a long curvy snake in a desert or on some sort of gravely type ground perhaps it is a very brown picture the snake might be green","Yes",2.900990099,4.398058252,"2",-0.00206994950801736
"24",24,"Animal3",0.0312822572886944,"Snake.5"," A cow","No",2.900990099,4.398058252,"11",-0.0407075357402472
"25",25,"Animal3",0.0892192125320435,"Snake.5","A snake that's got different  a brown yellow snake that's moving on top of itself and different kind of figure of 8 shape  ","Yes",2.900990099,4.398058252,"21",0.0357493291089858
"26",26,"Animal3",0.0380029790103436,"Snake.5","spider","No",2.900990099,4.398058252,"20",0
"27",27,"Animal3",0.0752221867442131,"Snake.5","This is a picture of a snake","Yes",2.900990099,4.398058252,"30",0
"28",28,"Animal3",0.0664051175117493,"Snake.5","That is a snake","Yes",2.900990099,4.398058252,"26",0
"29",29,"Animal3",0.0507815852761269,"Snake.5","Ah that looks like a friendly animal doesn't look very poisonous or leathery or anything looks very calm like its trying to go to sleep or something","No",2.900990099,4.398058252,"22",0.0294268996931521
"30",30,"Animal3",0.0839660167694092,"Snake.5","A snake like collied on the ground","Yes",2.900990099,4.398058252,"6",0
"31",31,"Animal3",0.0765292271971703,"Snake.5","this is a snake  that is curled up","Yes",2.900990099,4.398058252,"1",0
"32",32,"Animal3",0.0829401388764381,"Snake.5","K I'm seeing a picture of a snake could be a rattle snake","Yes",2.900990099,4.398058252,"20",0
"33",33,"Animal3",0.0310921911150217,"Snake.5"," I see a beaver where it looks to be constructing a dam with there's 2 3 stick In  Beavers hands and er or yeah and it's trying to make a dam it looks to be  or at least something to prevent the water flow in some way or form","No",2.900990099,4.398058252,"24",-0.0801324157013282
"34",34,"Animal3",0.0617286376655102,"Snake.5","I see a snake that it","Yes",2.900990099,4.398058252,"22",0
"35",35,"Animal3",0.0790532678365707,"Snake.5","This is a picture of a snake","Yes",2.900990099,4.398058252,"35",0
"36",36,"Animal3",0.06545040756464,"Snake.5","This is a snake","Yes",2.900990099,4.398058252,"8",0
"37",37,"Animal3",0.0271363500505686,"Snake.5","There is a picture of a white rabbit being pulled out of a black hat by a magician there appears to be 4 rows of audience in the background  ground they all appear to be wearing quite formal attire as though there in some sort of dinner party perhaps","No",2.900990099,4.398058252,"26",-0.0169826769955488
"38",38,"Animal3",0.0259056277573109,"Snake.5","It's a woman drinking a cup of  coffee","No",2.900990099,4.398058252,"1",0
"39",39,"Animal3",0.0206084121018648,"Snake.5","A tree on fire","No",2.900990099,4.398058252,"13",0
"40",40,"Animal3",0.10180227458477,"Snake.5","A snake a lovely long black and yellow snake","Yes",2.900990099,4.398058252,"33",0.0111889076241279
"41",1,"Person2",0.0472926795482635,"Police.2","Its like some people with guns","Yes",2.388888889,4.567307692,"1",0
"42",2,"Person2",0.0768983587622643,"Police.2","Some soldiers with guns","Yes",2.388888889,4.567307692,"8",0
"43",3,"Person2",0.0253055393695831,"Police.2","Here you can see a squad of special forces erm they are erm I'm guessing American by the size and type of vehicles in the background erm by the vehicle on the right which is mostly obscured by the huddle of 3 men in green helmets with cameo trousers they might be a swat team with a variety of weapons all in black and they're all uniformed in the background there's a person stood with what looks to be a dark thunderbird uniform which is interesting and he's just sort of stood their hand behind his back looking at them erm which as they've got guns out I'd have possibly have hidden but that's him, the ground is red sand and there's appears to be a goal post in the background","Yes",2.388888889,4.567307692,"12",0.011786243357478
"44",4,"Person2",0.0892316251993179,"Police.2","Err soldiers or armed police in the middle of the 4 of them with helmet camo trousers vests er a few er lightly armed er a few pistols some machine guns er there's er a couple of vehicles behind them with the sand bars but there not on","Yes",2.388888889,4.567307692,"24",-0.0112925729580408
"45",5,"Person2",0.0348839312791824,"Police.2","This is a  picture of an ambulance just outside of a Hospital","No",2.388888889,4.567307692,"35",0
"46",6,"Person2",0.0660446807742119,"Police.2","It's a group of people there's a  car in the background the people are all holding swords and have  protective gear on","No",2.388888889,4.567307692,"27",0
"47",7,"Person2",0.0749398767948151,"Police.2","the picture is of er Army members with guns and bullet proof vests in a car park  ","Yes",2.388888889,4.567307692,"29",0
"48",8,"Person2",0.0855036377906799,"Police.2","Some soldiers possibly police an ambulance in the background","Yes",2.388888889,4.567307692,"13",0
"49",9,"Person2",0.0842150151729584,"Police.2","Its  erm soldiers shooting with some guns there are 2 vehicles behind them","Yes",2.388888889,4.567307692,"24",-0.0680915452997919
"50",10,"Person2",0.0585577301681042,"Police.2","It's a picture of armed men","Yes",2.388888889,4.567307692,"24",0
"51",11,"Person2",0.0835331529378891,"Police.2","Picture of people in an army outfit with guns","Yes",2.388888889,4.567307692,"11",0
"52",12,"Person2",0.0150109110400081,"Police.2","This one is of like a bear in a zoo climbing not a treelike stood up trying to get some leaves the trees quite like tall but thin there's quite like a lot of bark on the tree erm and its like reaching up to get the leaves","No",2.388888889,4.567307692,"25",-0.0640414702754455
"53",13,"Person2",0.0778954029083252,"Police.2","Erm there's 4 women and their all in matching outfits with guns and they look like there all about to shoot somebody","Yes",2.388888889,4.567307692,"15",0
"54",14,"Person2",0.0805796384811401,"Police.2","It's a group of 6 men with guns wearing camouflage trousers in some dusty environment","No",2.388888889,4.567307692,"8",-0.0898262290212387
"55",15,"Person2",0.0818443670868874,"Police.2","Erm this picture is of a group of 4 police men or some sort of security and there aiming their gun at something that's out of the picture","Yes",2.388888889,4.567307692,"13",0
"56",16,"Person2",0.0780613869428635,"Police.2","This is a photo of 4 man they are probably army or navy seals or someone like that and they  have gun and it's a dusty photo","Yes",2.388888889,4.567307692,"29",-0.0606890738594458
"57",17,"Person2",0.0726915970444679,"Police.2","Some people training to use weaponry ","Yes",2.388888889,4.567307692,"35",0
"58",18,"Person2",0.0373675227165222,"Police.2","See I mean football teams are pretty good but this one doesn't have a very inventive what colour scheme if you're going to do it then at least admit to having bright colours","No",2.388888889,4.567307692,"22",0.0262103381104199
"59",19,"Person2",0.065357506275177,"Police.2","Bunch of guys who think there tactical or police","Yes",2.388888889,4.567307692,"4",0
"60",20,"Person2",0.0829293727874756,"Police.2","Next we have an image of 4 man in military gear presumably doing a military exercise with an ambulance on standby in the background","Yes",2.388888889,4.567307692,"29",-0.0278422273781903
"61",21,"Person2",0.0812320113182068,"Police.2","This picture is of people with guns and camouflage trousers using bullet proof vests and the guns are pointing at someone off the frame","Yes",2.388888889,4.567307692,"30",0
"62",22,"Person2",0.0380028076469898,"Police.2","I can see cars on a race course, they are going in a straight line, there a re 2 red ones, 2 blue ones, a white and a black and there are red and white stripes along the race track/","No",2.388888889,4.567307692,"23",0.000664198063862644
"63",23,"Person2",0.0881286039948463,"Police.2","This could almost be a scene from a film but its probably not its 4 guys in like army duds with lots of guns there some large vehicles behind them the going across some sort of dusty thing it looks sort of like a foot ball pitch","Yes",2.388888889,4.567307692,"23",-0.0242479799510605
"64",24,"Person2",0.0547894276678562,"Police.2"," People shooting","Yes",2.388888889,4.567307692,"22",0
"65",25,"Person2",0.101161293685436,"Police.2","I would say 4  guys who are in the army or  the cadets and  they are holding guns and they're ready to shoot it looks like there in a warzone and backgrounds there's cars and a misty kind of background and theirs sand  on the ground","Yes",2.388888889,4.567307692,"28",0.064998780198156
"66",26,"Person2",0.0533246733248234,"Police.2","private police maybe or Military","Yes",2.388888889,4.567307692,"35",-0.0143884892086331
"67",27,"Person2",0.0628518387675285,"Police.2","This is a picture of 6 men with well armed with guns","No",2.388888889,4.567307692,"25",0
"68",28,"Person2",0.0745684206485748,"Police.2","Those are some soldiers doing some training","Yes",2.388888889,4.567307692,"24",0
"69",29,"Person2",0.0387609042227268,"Police.2","Oh that's alarming doesn't look normal looks like its in Syria or something with like the ground scary","Yes",2.388888889,4.567307692,"14",-0.0137223884579466
"70",30,"Person2",0.0633753538131714,"Police.2","There's a picture of military men walking around","No",2.388888889,4.567307692,"33",-0.0391237521541352
"71",31,"Person2",0.025062832981348,"Police.2","This is a picture of a car its just driving along at the side of a motorway","No",2.388888889,4.567307692,"20",0
"72",32,"Person2",0.0231366809457541,"Police.2","K I'm seeing  a picture of 4 ladies having a sort of a tea thing there all smiling at each other it's a nice sunny day","No",2.388888889,4.567307692,"30",0.0277372262773723
"73",33,"Person2",0.0983673557639122,"Police.2","In this image see a age  group of four people them all holding guns holding guns yep one of them  has a bigger gun than the others there looks to be military-related with the camouflage trousers  bulletproof vest holders  for ammunition goggles and green helmets as well as  what looks to be police vans or ambulance nah probably police vans  in the background","Yes",2.388888889,4.567307692,"10",-0.0267108052337761
"74",34,"Person2",0.091076448559761,"Police.2","This is a picture of 4 soldiers who are shooting at something and its probably a trial because it doesn't really look like a real war","Yes",2.388888889,4.567307692,"25",0.0247377886901262
"75",35,"Person2",0.0273643415421247,"Police.2","I see a field of flowers in the background there are mountains","No",2.388888889,4.567307692,"1",0
"76",36,"Person2",0.0259338561445475,"Police.2","This is a plane","No",2.388888889,4.567307692,"14",0
"77",37,"Person2",0.0850642397999763,"Police.2","There are  like four armed men who appear to be on like a training exercise they are in some kind of Dusty environment with like an ambulance and a  truck with lights on in the background  ","Yes",2.388888889,4.567307692,"6",0.0203792123946585
"78",38,"Person2",0.0265949033200741,"Police.2","It's a student readin a book","No",2.388888889,4.567307692,"21",0
"79",39,"Person2",0.0595821887254715,"Police.2","Soldiers","Yes",2.388888889,4.567307692,"34",0
"80",40,"Person2",0.0688045918941498,"Police.2","Marines on a boat in the middle of the sea with guns and helmets and dressed up there like on port deck","No",2.388888889,4.567307692,"26",0
"81",1,"Animal2",0.0450086034834385,"Dog.31","It's a doggo","Yes",2.083333333,4.201923077,"2",0
"82",2,"Animal2",0.11639316380024,"Dog.31","A dog is looking at a camera from inside a cage","Yes",2.083333333,4.201923077,"2",0
"83",3,"Animal2",0.0260394960641861,"Dog.31","here we can see a picture of bear its looking through the glass window of the zoo enclosure it sort of its quite a small bear erm its got brown fur in the background you can see grass and what looks to be a cave so they've  gone down the stylised root of making a zoo enclosure that looks exactly like the stereotype of where a bear might live erm in the foreground towards the left you can see quite a short person just the edge of quite a short person who appears to be wearing some sort of red sweater yellow scarf erm you can see sort of like 1 third of their body erm you can see that erm they've got black hair pale skin and a yellow hat with and I don't know if that's a bobble or not theirs enough visible to tell to the right you've got moss- mostly black coat over what looks to be the side of a Zimmer frame protruding from the side of it so erm I'm going to go with elderly man by the coat erm then in the middle of the frame you've just got the grey concrete bottom of the window then the large window and then the bear in the middle with its paws up on the bars, the cave is oft towards the right hand side of the picture.","No",2.083333333,4.201923077,"24",0.00402285259036006
"84",4,"Animal2",0.0311107542365789,"Dog.31","Cat sat in a cardboard box on the table just looking up cutely","No",2.083333333,4.201923077,"4",0.0705785809877547
"85",5,"Animal2",0.0971213802695274,"Dog.31","That appears to be a dog that has been caged up and is looking very sad","Yes",2.083333333,4.201923077,"1",-0.26530612244898
"86",6,"Animal2",0.104181699454784,"Dog.31","It's a dog in a shelter [ohw] it looks a bit unhappy its got its paws on the bars","Yes",2.083333333,4.201923077,"9",-0.0761958515591929
"87",7,"Animal2",0.0429757311940193,"Dog.31","the picture is of a happy dog bounding around in a meadow","No",2.083333333,4.201923077,"14",0.152444326817649
"88",8,"Animal2",0.0770382359623909,"Dog.31","Dog picture this dogs brown paws up against a green door","Yes",2.083333333,4.201923077,"18",-0.0805288701591804
"89",9,"Animal2",0.082883819937706,"Dog.31","It's a cat in a cage not looking very happy","No",2.083333333,4.201923077,"3",0.17022886324948
"90",10,"Animal2",0.086626224219799,"Dog.31","It's a picture of a dog in a cage","Yes",2.083333333,4.201923077,"16",0
"91",11,"Animal2",0.0627588927745819,"Dog.31","Er  its er a picture of a cat in a cage","No",2.083333333,4.201923077,"5",0
"92",12,"Animal2",0.0460490882396698,"Dog.31","Erm there's a  puppy with its paws up against the I think its like a chafer er yeah","Yes",2.083333333,4.201923077,"0",0
"93",13,"Animal2",0.0991914495825768,"Dog.31","It's a dog trapped behind in a cage","Yes",2.083333333,4.201923077,"8",-0.143236074270557
"94",14,"Animal2",0.112592861056328,"Dog.31","It's a sad looking dog behind bars","Yes",2.083333333,4.201923077,"4",-0.101054507648894
"95",15,"Animal2",0.11479452252388,"Dog.31","This picture shows a dog who's stuck in a cage and looks kind of unwell","Yes",2.083333333,4.201923077,"11",0.172661870503597
"96",16,"Animal2",0.133616432547569,"Dog.31"," this is a photo of a dog and he looks really  sad because he's behind a  bar and his paws are on it and there's a green fence","Yes",2.083333333,4.201923077,"6",-0.0556316510378253
"97",17,"Animal2",0.063317134976387,"Dog.31","A middle aged dog in a pound or a van","Yes",2.083333333,4.201923077,"6",-0.0154372036608226
"98",18,"Animal2",0.0945215746760368,"Dog.31","No stop stop sad dogs like happy dogs are better than sad dogs although it does look like that dogs been posed rather than legitimately caged","Yes",2.083333333,4.201923077,"25",0.00698942349611199
"99",19,"Animal2",0.0923196375370026,"Dog.31","a caged dog","Yes",2.083333333,4.201923077,"10",0
"100",20,"Animal2",0.0989081263542175,"Dog.31","This image is of a dog behind some metal bars","Yes",2.083333333,4.201923077,"32",-0.167053364269142
"101",21,"Animal2",0.0709929019212723,"Dog.31","This picture is of a donkey in a cage","No",2.083333333,4.201923077,"2",0
"102",22,"Animal2",0.0931850895285606,"Dog.31","There is a dog against some railings looking sad.","Yes",2.083333333,4.201923077,"14",-0.0697407967055776
"103",23,"Animal2",0.102862164378166,"Dog.31","It is a very grumpy looking pupper it is in a cage its is brown he's looking quite mournful at me","Yes",2.083333333,4.201923077,"22",0.0248393940962083
"104",24,"Animal2",0.107169792056084,"Dog.31"," A brown dog sitting behind bars","Yes",2.083333333,4.201923077,"28",-0.122122607220741
"105",25,"Animal2",0.102598465979099,"Dog.31","the dog that's in a cage kinda looks  like a rescue centre with its paws up  against the rails","Yes",2.083333333,4.201923077,"12",0
"106",26,"Animal2",0.0322244130074978,"Dog.31","A cat","No",2.083333333,4.201923077,"8",0
"107",27,"Animal2",0.0532462373375893,"Dog.31","This is a picture of a dog","Yes",2.083333333,4.201923077,"35",0
"108",28,"Animal2",0.0838842168450356,"Dog.31","That is a dog behind some bars","Yes",2.083333333,4.201923077,"14",-0.151658767772512
"109",29,"Animal2",0.0388966836035252,"Dog.31","Aww how sad","Yes",2.083333333,4.201923077,"21",-0.0091482589719644
"110",30,"Animal2",0.0694547295570374,"Dog.31","Picture of a cat in a cage","No",2.083333333,4.201923077,"31",0
"111",31,"Animal2",0.0820674449205399,"Dog.31","this a picture of a dog he's got his paws against a barrier like he's trapped","Yes",2.083333333,4.201923077,"6",-0.10967250571211
"112",32,"Animal2",0.0588307566940784,"Dog.31","K I'm seeing a picture of a man behind bars he's got his hands up to the bars","No",2.083333333,4.201923077,"11",-0.0467153284671533
"113",33,"Animal2",0.108396634459496,"Dog.31"," I see a dog put in a cage dog is a brown while the cage is the green on the outside but with a quite a significant amount of rust along the green aspect of it and the bars the dog also has  brown eyes and looks quite distressed","Yes",2.083333333,4.201923077,"33",-0.00166942532711101
"114",34,"Animal2",0.0714932233095169,"Dog.31","I see a dog who doesn't look very happy he looks I don't know how to say the thing where you put dogs when it looks like there strays on the street","Yes",2.083333333,4.201923077,"16",0.123688943450631
"115",35,"Animal2",0.0846088156104088,"Dog.31","I see a probably a picture from a shelter for animals and I see a sad looking cat","No",2.083333333,4.201923077,"8",-0.06945822583846
"116",36,"Animal2",0.0348707139492035,"Dog.31","The cat is watching","No",2.083333333,4.201923077,"17",0
"117",37,"Animal2",0.0243540238589048,"Dog.31","There is a picture of an inn there appears to be there's  about 4 or five people drinking with various mugs in front of them there is quite a tall woman with a white coat and black hair standing that looks like some sort of bar maid at the back I guess serving drinks","No",2.083333333,4.201923077,"30",-0.0084913384977744
"118",38,"Animal2",0.0787067487835884,"Dog.31","It's a dog in a cage","Yes",2.083333333,4.201923077,"0",0
"119",39,"Animal2",0.105624139308929,"Dog.31","A dog looking through bars","Yes",2.083333333,4.201923077,"9",0
"120",40,"Animal2",0.115983054041862,"Dog.31","A happy dog at a kennel waiting to be not rescued but kinda like adopted","No",2.083333333,4.201923077,"6",0.126368839048974
"121",1,"Object8",0.0288736503571272,"Wedding.7","It's a matchbox","No",5.284313725,3.247524752,"3",0
"122",2,"Object8",0.0240146648138762,"Wedding.7","A laptop a green laptop ","No",5.284313725,3.247524752,"26",-0.115942028985507
"123",3,"Object8",0.0292254276573658,"Wedding.7","here we can see some ribbons on a pillow there's some metal bits attached to the ribbons maybe rings from this perspective it is very hard to tell equally they could be the end of usb cables erm there's what looks like there is a very blurry glass in the back top left top middle another very blurry glass I'm unsure of the occasion the ribbons are white and red the pillow is white there might be a bit of wood grain in the bottom left (which would indict) a  wooden table but I really don't know, unknown ribbons","Yes",5.284313725,3.247524752,"30",0.0191832081880122
"124",4,"Object8",0.0221498683094978,"Wedding.7","Next one er elephant just having some water err as- er savanna time terrain, few trees not very cloudy sky","No",5.284313725,3.247524752,"1",-0.0141157161975509
"125",5,"Object8",0.0740424990653992,"Wedding.7","I think that's meant to be some ribbons tied around a pillow with some ring could be something to do with a wedding or something","Yes",5.284313725,3.247524752,"3",0
"126",6,"Object8",0.0901839807629585,"Wedding.7","It's a pillow wrapped in a ribbon yeah I think it is the ribbons red ","Yes",5.284313725,3.247524752,"11",0
"127",7,"Object8",0.0426243729889393,"Wedding.7","the picture is of  the Aurora probably the Northern Lights at night  the picture is of fabric and fabric shop","No",5.284313725,3.247524752,"34",0
"128",8,"Object8",0.070150651037693,"Wedding.7","ribbon sitting on a cushion possibly linking two rings together","Yes",5.284313725,3.247524752,"28",0
"129",9,"Object8",0.0697994530200958,"Wedding.7","There's some ribbon on a cushion perhaps on some sort of metal yeah","Yes",5.284313725,3.247524752,"10",0
"130",10,"Object8",0.0671167150139809,"Wedding.7","It's a picture of a cushion with some robes coming off of it","Yes",5.284313725,3.247524752,"6",0
"131",11,"Object8",0.108413226902485,"Wedding.7","A picture of a pillow with some red and white ribbons","Yes",5.284313725,3.247524752,"23",0
"132",12,"Object8",0.0283841527998447,"Wedding.7","this one is of a science lab you've got like a science  technician in a lab coat with some goggles on erm stood behind a Bunsen burner and theirs a black board behind them with some drawing s and like numbers on","No",5.284313725,3.247524752,"23",-0.0515889621663311
"133",13,"Object8",0.0521096810698509,"Wedding.7","Some  rings I think on a cushion  ","Yes",5.284313725,3.247524752,"4",0
"134",14,"Object8",0.0698262974619865,"Wedding.7","It's a series of ribbons resting on what appears to be a pillow","Yes",5.284313725,3.247524752,"34",0
"135",15,"Object8",0.0923343449831009,"Wedding.7","This  picture shows a pillow wrapped up with a bow and has some kind of ornament tied within it","Yes",5.284313725,3.247524752,"19",0.172661870503597
"136",16,"Object8",0.0867360681295395,"Wedding.7","there is a red string and a white string and I think it's an engagement ring on a pillow","Yes",5.284313725,3.247524752,"5",0
"137",17,"Object8",0.0877613425254822,"Wedding.7","A bow on a pillow with a zip and out of focus glasses in the background","Yes",5.284313725,3.247524752,"33",0
"138",18,"Object8",0.0992250144481659,"Wedding.7","What it's a pillow wrapped in a ribbon like I can see using pillow as packaging for a present but a pillow as a present seems odd and it's a plane pillow to like it's a low quality present","Yes",5.284313725,3.247524752,"16",-0.00310641044271644
"139",19,"Object8",0.0786158591508865,"Wedding.7","what appears to be a cushion which has been gift wrapped with two rings on it having said that wedding rings ","Yes",5.284313725,3.247524752,"11",0
"140",20,"Object8",0.0692693740129471,"Wedding.7","next is just two rings on a pillow a very candied shot of them","Yes",5.284313725,3.247524752,"5",0.0417633410672854
"141",21,"Object8",0.094492182135582,"Wedding.7","This picture is of a some wedding rings on a cushion surrounded by ribbon I think","Yes",5.284313725,3.247524752,"4",0
"142",22,"Object8",0.0255892649292946,"Wedding.7","I can see a rock-climber he is precariously hanging on to the side of a chalky cliff. It looks  like he has not got a harness on","No",5.284313725,3.247524752,"25",0
"143",23,"Object8",0.0354975126683712,"Wedding.7","It is a close up of something possibly an animal its possibly furry I think it is an animal like some sort of cat maybe","No",5.284313725,3.247524752,"18",0
"144",24,"Object8",0.0251116491854191,"Wedding.7"," A raincloud","No",5.284313725,3.247524752,"4",0
"145",25,"Object8",0.090583361685276,"Wedding.7","a cushion with a ribbon on top of it and a  nice Fade Into the background","Yes",5.284313725,3.247524752,"10",0.0893733227724645
"146",26,"Object8",0.0735622495412827,"Wedding.7","pillow with bows on","Yes",5.284313725,3.247524752,"28",0
"147",27,"Object8",0.0778593495488167,"Wedding.7","This is a picture of some ribbons on top of a cushion I wanna say","Yes",5.284313725,3.247524752,"23",0.145178015900449
"148",28,"Object8",0.0703058689832687,"Wedding.7","This is some sort of jewellery some ribbons on a pillow","Yes",5.284313725,3.247524752,"3",0
"149",29,"Object8",0.0582365803420544,"Wedding.7","What is that supposed to be a ribbon oh its supposed to be what the ring bearer has looks cute I guess","No",5.284313725,3.247524752,"11",0.045741294859822
"150",30,"Object8",0.0810580626130104,"Wedding.7","Erm it's a pillow with 2 rings in with ribbons attached","Yes",5.284313725,3.247524752,"7",0
"151",31,"Object8",0.0280812177807093,"Wedding.7","This is a picture of a fist fight there are 2 men who are getting into a fight","No",5.284313725,3.247524752,"34",0
"152",32,"Object8",0.0798462331295013,"Wedding.7","Ok I'm seeing I don't know what it is it looks like a pillow with ribbons laughs that's the only way I can describe it but I don't but its  a pillow a cushion","Yes",5.284313725,3.247524752,"13",0.0291970802919708
"153",33,"Object8",0.0332681871950626,"Wedding.7"," in this image I see a Prince Harry with a sword looking to be  knighting someone I'm not sure who he is knighting I don't quite recognize that maybe they're famous figure not sure and yeah looks to be in the quite a fancy place and yeah","No",5.284313725,3.247524752,"15",0
"154",34,"Object8",0.0423414036631584,"Wedding.7","I see a box with clothes in it probably ready for moving","No",5.284313725,3.247524752,"17",0.0247377886901262
"155",35,"Object8",0.0745162963867188,"Wedding.7"," I don't know what that is laugh oh ok I see 2 rings on a pillow with white and red ribbon on it","Yes",5.284313725,3.247524752,"12",0.027783290335384
"156",36,"Object8",0.0393865741789341,"Wedding.7","Some papers","No",5.284313725,3.247524752,"28",0
"157",37,"Object8",0.092166431248188,"Wedding.7","Those appear to be wedding rings on a pillow with various ribbon things on them","Yes",5.284313725,3.247524752,"5",0
"158",38,"Object8",0.0264933425933123,"Wedding.7","Picture of a classroom with loads of children in","No",5.284313725,3.247524752,"34",0
"159",39,"Object8",0.0651523023843765,"Wedding.7","A ring attached to a cushion","Yes",5.284313725,3.247524752,"18",0
"160",40,"Object8",0.0426651127636433,"Wedding.7","Just some jewellery in a jewellery store","No",5.284313725,3.247524752,"15",0
"161",1,"Animal6",0.0880596190690994,"Bird.5","It's a birb in a hand poor birb","Yes",4.470588235,4.445544554,"4",-0.169014084507042
"162",2,"Animal6",0.108526676893234,"Bird.5","A person holding a small bird I think it might be a chaffinch maybe","No",4.470588235,4.445544554,"34",-0.144927536231884
"163",3,"Animal6",0.0265363492071629,"Bird.5","Hear we can see a very surprised looking bird being held in someone's hand erm its got its beak slightly open little eyes staring straight at the camera erm tail protruding from the bottom of the hand its someone's right hand and then its feat are protruding between the fingers and the wrist erm the bird does look quite surprised and probably quite miffed to be held like this erm its some form of oh great tit I think I'm bad with ornithology its got white bits protruding across its cheeks from the beak erm top half of its head including the eyes is black and its got a black bit where the beard would be and got sort of yellow sides.","Yes",4.470588235,4.445544554,"25",0.0122879647502484
"164",4,"Animal6",0.0845372155308723,"Bird.5","Er yeah theirs a bird being held by someone doesn't look like the best way to be holding the bird and the bird does look a bit surprised at that","Yes",4.470588235,4.445544554,"14",0.0776364390865302
"165",5,"Animal6",0.0488263182342052,"Bird.5","This is a picture of a parrot","No",4.470588235,4.445544554,"28",0
"166",6,"Animal6",0.0836828052997589,"Bird.5","It's a hand I think the hands female and its holding a chick of some kind the chicks quite yellow so id go for baby chicken","No",4.470588235,4.445544554,"24",0
"167",7,"Animal6",0.104221612215042,"Bird.5","The picture is of a little bird being held in the hand","Yes",4.470588235,4.445544554,"24",-0.0357291390978865
"168",8,"Animal6",0.112219296395779,"Bird.5","A little bird black and white plumage trapped in someone's hand","Yes",4.470588235,4.445544554,"25",-0.0557830194331822
"169",9,"Animal6",0.0764048472046852,"Bird.5","It's a bird being squished or carried but carried very firmly he doesn't look very happy he looks like he's getting squished","Yes",4.470588235,4.445544554,"7",0.0629846794023075
"170",10,"Animal6",0.0929482877254486,"Bird.5","Picture of a chick in someone's hands","Yes",4.470588235,4.445544554,"33",0
