"","no.","image","verifications","description","Valence.ratings"
"40",440,"Car.crash.1","Tell the truth ","There is a grey car that has been smashed at the front and it seems to be parked on the side of the road with trees on the other side","Moderately Negative"
"41",441,"Car.crash.1","Lie","There is a red car driving in a motorway with a lot of cars in the back.","Very Negative"
"42",442,"Car.crash.1","Lie","An expensive Tesla is driving down an empty road at night. The car is an eye-catching electric blue and is illuminated by the warm glow of the streetlights on either side of the road. One of the car's headlights appears to be broken as the left one does not emit any light whilst the right does.","Somewhat Negative"
"43",443,"Car.crash.1","Tell the truth ","The hood of a black car has been smashed in making a large dent. You can see the inside of the car and the wet road behind it. ","Moderately Negative"
"44",444,"Car.crash.1","Lie","A guy is trying to sell his lorry. It is in perfect condition. There are no scratches on it. The colour of the lorry is green and it has tinted windows. It also has a couple of stickers on the windows.","Moderately Negative"
"45",445,"Car.crash.1","Lie","A ballon flotting in the wind ","Very Negative"
"46",446,"Car.crash.1","Lie","The image shows a white car. It is parked in the street of a city. We can see some people walking in the background, and the driver is sitting inside the car. ","Moderately Negative"
"47",447,"Car.crash.1","Tell the truth ","There is a grey crashed car stopped by the side of the road. The front of it is heavily damaged as you can see the components inside of it.","Moderately Negative"
"48",448,"Car.crash.1","Tell the truth ","a car with a damaged front","Very Negative"
"49",449,"Car.crash.1","Tell the truth ","a grey toyota yaris with a smashed front end on the side of a road","Very Negative"
"50",450,"Car.crash.1","Tell the truth ","There is a silver car that has been in an accident, its bonnet is completely crushed as though involved in a head on collision. The top of the bonnet is crumpled up on the windshield and the engine is crushed, pieces of it dangling out the sides. The car looks to be on a motorway, in the background there is a green space with trees on the side of the road. ","Moderately Negative"
"51",451,"Car.crash.1","Tell the truth ","There is a gray car with a lot of damage to the front. It is raining.","Moderately Negative"
"52",452,"Car.crash.1","Lie","there is a driveway with a red and a blue car parked there. The red car is parked on the left and is smaller than the blue car that is parked on the right. Only the backs of the cars are visible. Behind the cars there is a brown brick house and only the silver front door can be seen","Very Negative"
"53",453,"Car.crash.1","Tell the truth ","A car that has just been involved in a collision with the bonnet broken","Very Negative"
"54",454,"Car.crash.1","Tell the truth ","Shows a car which has a very damaged front, it's on a road. The car is dark green and on the side of a road.","Moderately Negative"
"55",455,"Car.crash.1","Tell the truth ","There is a wrecked silver car on a wet road.","Somewhat Negative"
"56",456,"Car.crash.1","Tell the truth ","There is a grey car that has crashed. The bonet of the car is smashed","Moderately Negative"
"57",457,"Car.crash.1","Tell the truth ","Silver car on the side of a road, the entire bonnet has been smashed inwards exposing the innards of the car. Rainy day and brown paper bag on the floor.","Very Negative"
"58",458,"Car.crash.1","Tell the truth ","A car which has clearly been involved in a car crash with its front bonnet all smashed in","Moderately Negative"
"59",459,"Car.crash.1","Tell the truth ","a horrific car crash in which the fornt of the grey car has been completley smashed in","Very Negative"
"60",460,"Car.crash.1","Tell the truth ","We can see a grey car with a smashed bonnet at the side of a fast-looking road. The car has clearly crashed into something, it is raining. The location looks remote.  ","Moderately Negative"
"61",461,"Car.crash.1","Lie","A photo of a truck that has been completely smashed up in an accident, on the side of the road.","Moderately Negative"
"62",462,"Car.crash.1","Tell the truth ","a grey car that has been crashed into and the bonnet is smashed","Moderately Negative"
"63",463,"Car.crash.1","Tell the truth ","A car that's been in an accident with heavy damage to the front of the car with majority of the hood being crumpled up.","Very Negative"
"64",464,"Car.crash.1","Tell the truth ","This shows a car which has clearly been in a crash. The car is fairly big and is dark grey. The bonnet has been destroyed and crumped and shows a bundle of wires underneath. It is at the side of a tarmac road with grass and trees in the background","Moderately Negative"
"65",465,"Car.crash.1","Tell the truth ","A grey car is completely damaged from the front due to an accident. The weather is rainy, and the car rain wipers are moving.","Very Negative"
"66",466,"Car.crash.1","Tell the truth ","On the road there is a car parked to the side, totalled. It is pouring with rain and the sky is dim. ","Neutral"
"67",467,"Car.crash.1","Tell the truth ","a car crashed","Very Negative"
"68",468,"Car.crash.1","Lie","There is a black and white football. It is rested on some short green grass.","Moderately Negative"
"69",469,"Car.crash.1","Tell the truth ","A grey silver car has crashed and the front of the car has been destroyed. it's in front of a road and it looks like a wet day. ","Very Negative"
"70",470,"Car.crash.1","Tell the truth ","A grey car after a crash, the front end all smashed in, rainy day","Very Negative"
"71",471,"Car.crash.1","Tell the truth ","there is a car that has been clearly smashed up in a crash. the front of the car is destroyed and the door has come off it is on what looks like its on a single carriageway road.","Very Negative"
"72",472,"Car.crash.1","Tell the truth ","The image shows a grey car that has been in an accident and has its bonnet smashed up.  ","Very Negative"
"73",473,"Car.crash.1","Tell the truth ","I see a destroyed car.","Moderately Negative"
"74",474,"Car.crash.1","Tell the truth ","This is a picture of a car on the motorwar. It is a dark grey car, which has just gotten into a crash. The sides of the car are okay but the front of the car is destroyed, and the whole engine can be seen. it apprears to be a wet rainy day","Moderately Negative"
"75",475,"Car.crash.1","Tell the truth ","A picture of a car with a smashed up bonnet","Somewhat Negative"
"76",476,"Car.crash.1","Tell the truth ","this is the scene of a car crash. There is a grey car with a crumpled bonnet at the side of the road. The scene appears dismal and rainy.","Very Negative"
"77",477,"Car.crash.1","Lie","There is a shiny car, it is red. The sun is shining brightly and the car is clean. ","Neutral"
"78",478,"Car.crash.1","Lie","Nicki Minaj performing at the super bowl ","Somewhat Negative"
"79",479,"Car.crash.1","Lie","The image shows a boy skateboarding down a street while a few of his friends are on bikes behind him. The boy is wearing no protective gear but his friends all have helmets on. They are all smiling/laughing and looks like a lovely friend group about to go and have a fun day out together.","Moderately Negative"
"80",480,"Car.crash.1","Tell the truth ","there is a car at the side of the road that has had a crash. The car is a gunmetal grey and the bonnet has been broken","Very Negative"
"81",481,"Car.crash.1","Tell the truth ","There is a car at the side of the road and it is raining. It appears to have been in a car crash as the whole front of the car is smashed. The car is grey.","Very Negative"
"82",482,"Car.crash.1","Tell the truth ","There is a grey car that has been in an accident. The entire front of the car is crumpled and damaged. The car is grey. It is on the side of a road and the weather is raining.","Very Negative"
"83",483,"Car.crash.1","Tell the truth ","There is a damaged car at the side of the road. The car is grey. The front of the car has been smashed. There are two yellow lines in the road. There are trees in the background.","Moderately Negative"
"84",484,"Car.crash.1","Lie","There is a white wax candle in a dark room with a bright yellow-orange flame, The wax is melting and dripping down the candle stick","Moderately Negative"
"85",485,"Car.crash.1","Tell the truth ","a wrecked grey car after a crash. the front is completely smashed up as if something fell on it. it is raining, and the background is a road and green roadside full of wild grasses.","Neutral"
"86",486,"Car.crash.1","Tell the truth ","After a car crash, a grey car is on the side of the road. There are no people in the picture.","Very Negative"
"87",487,"Car.crash.1","Tell the truth ","There is a car in the rain with the front of it completely crushed. the car is grey and on the side of the road. in the background there are green trees and plants","Moderately Negative"
"88",401,"Fire.3","Tell the truth ","A fire engine trying to put out a fire. It looks lile a loosing battle","Very Negative"
"89",402,"Fire.3","Tell the truth ","A fire engine putting out an extreme fire","Somewhat Negative"
"90",403,"Fire.3","Tell the truth ","A fire engine fighting a fire","Very Negative"
"91",404,"Fire.3","Tell the truth ","A fire truck attending a huge blaze","Moderately Negative"
"92",405,"Fire.3","Tell the truth ","Aviation fire training","Neutral"
"93",406,"Fire.3","Tell the truth ","a serious fire with fire engine","Very Negative"
"94",407,"Fire.3","Tell the truth ","There is the silhouette of a fire engine to the left of the picture. It is squirting water on a large fire which could be at a chemical plant.","Moderately Negative"
"95",408,"Fire.3","Lie","A snow storm","Moderately Negative"
"96",409,"Fire.3","Tell the truth ","This is a fire engine trying to put on a fire with a water cannon ","Moderately Negative"
"97",410,"Fire.3","Tell the truth ","Fire engine squirting a jet of water into a raging inferno","Neutral"
"98",411,"Fire.3","Tell the truth ","There is a big fire ","Somewhat Negative"
"99",412,"Fire.3","Tell the truth ","This is a silhouette of a fire engine in front of a raging fire","Very Negative"
"100",413,"Fire.3","Tell the truth ","plane on fire with the fire engine ","Very Negative"
"101",414,"Fire.3","Tell the truth ","a fire engine putting a fire out ","Very Negative"
"102",415,"Fire.3","Lie","This is a picture of a pathway in the forest. On either side there are tall green trees. The sun is shining through the trees. There are lots of sticks on the path.","Very Negative"
"103",416,"Fire.3","Tell the truth ","There is a large fire being out out by the hose from a firetruck. The flames are vivid red, yellow and orange while everything else is black.","Moderately Negative"
"104",417,"Fire.3","Lie","A boat is moving across the water slowly, with some ripples behind it. It is a small, blue fishing boat. On board are 3 people, all men.","Moderately Negative"
"105",418,"Fire.3","Lie","A forest is on fire. Two firefighters are in the foreground, one is holding a hose.","Moderately Negative"
"106",419,"Fire.3","Tell the truth ","firetrucks putting out a big fire ","Very Negative"
"107",420,"Fire.3","Tell the truth ","There is a shadow of a fire engine putting out a large fire behind it","Very Negative"
"108",421,"Fire.3","Lie","there is a police care driving down the road with the siren flashing blue. you cannot see the people inside or in the other cars. they are driving down a duel carriageway and the road sign says the junction for the M6 is coming up soon.","Somewhat Positive"
"109",422,"Fire.3","Tell the truth ","Three is a photo of a fire. The flames are orange and are huge. There is a silhouette of a fire engine. It appears to be trying to put out the fire. ","Very Negative"
"110",423,"Fire.3","Tell the truth ","gigantic fire being put out ","Somewhat Positive"
"111",424,"Fire.3","Tell the truth ","This is a picture of a firetruck putting on a wildfire ","Somewhat Negative"
"112",425,"Fire.3","Lie","The picture shows the end of the world.","Very Negative"
"113",426,"Fire.3","Tell the truth ","An airport fire engine is putting out a fire ","Very Negative"
"114",427,"Fire.3","Tell the truth ","Is this a sunset or an explosion. There is a fire engine in front of it so probably a fire. ","Somewhat Negative"
"115",428,"Fire.3","Tell the truth ","Big fire in the background with a fire truck attempting to put it out. Can't tell what it is that's on fire because of all the fire and smoke.","Somewhat Negative"
"116",429,"Fire.3","Tell the truth ","There is a fire, with the only colour of the photo being of the fire, with a firetruck shadowed, sprawing water ontop of the fire","Somewhat Positive"
"117",430,"Fire.3","Tell the truth ","Yellow and orange fire ","Very Negative"
"118",431,"Fire.3","Tell the truth ","Silhouette of a fire truck spraying water into a blazing fire  ","Moderately Negative"
"119",432,"Fire.3","Tell the truth ","A silhouette of a fire engine can be seen in front of lots of smoke and flames. ","Somewhat Negative"
"120",433,"Fire.3","Tell the truth ","I can see a really big fire with a fire engine next to it. There is water being put on the fire.","Moderately Negative"
"121",434,"Fire.3","Tell the truth ","A solo fire engine attempts to put out a a raging orange fire. the fire provides the only light and the rest of the picture is pitch black.","Somewhat Negative"
"122",435,"Fire.3","Lie","There is a spread of felts tips in several colours all over the wooden table. There are also post-it notes with the title 'to-do list'. ","Very Negative"
"123",436,"Fire.3","Lie","Image of study hall with students doing an exam. All in the same uniform and appears to be in a sports hall due to lines on the floor and basketball hoop on the wall in the background.","Very Negative"
"124",437,"Fire.3","Tell the truth ","Photo of a huge fire with flames and smoke providing light to a dark picture. A fire engine can be seen to be spraying water in an attempt to control the blaze. ","Moderately Negative"
"125",438,"Fire.3","Tell the truth ","A fire engine is helping with the forest fire.","Very Negative"
"126",439,"Fire.3","Tell the truth ","It's a big blazing fore with fire trucks attempting to put it out with water. The picture is dark so we can only see shadows and flames.","Moderately Negative"
"127",440,"Fire.3","Tell the truth ","There is a massive fire outbreak that a fire truck is spraying with water to try and out out the fire","Very Negative"
"128",441,"Fire.3","Lie","There is a mansion.","Very Negative"
"129",442,"Fire.3","Tell the truth ","A frightening image of a fire consuming everything around it, whilst a lone fire engine on the left attempts to put it out. The smoke makes it difficult to see much of anything, other than the silhouette of the truck and the roaring flames of the fire.","Very Negative"
"130",443,"Fire.3","Tell the truth ","A firetruck hosing water onto a large outdoor fire. The picture is very smokey and dark.","Moderately Negative"
"131",444,"Fire.3","Tell the truth ","It is dark and is night time. There is a huge fire. There is a silhouette of a fire engine. ","Very Negative"
"132",445,"Fire.3","Lie","There a metal ladder with paint on the top. The walls behind it are all cream. There's no paint brush or working cloths around. ","Very Negative"
"133",446,"Fire.3","Tell the truth ","The image shows a fire engine and a big fire. The fire engine and the floor are both in darkness, so we can only distinguish the silhouette. The background is the fire, which is yellow, orange and red. The fire engine is throwing water at the fire. ","Somewhat Negative"
"134",447,"Fire.3","Lie","I see a leisure swimming pool filled with people. There are babies children and adults swimming there. It is a sunny day. Everyone is smiling cheerfully.","Moderately Negative"
"135",448,"Fire.3","Lie","a day of snow in tokyo","Very Negative"
"136",449,"Fire.3","Tell the truth ","fire engine putting out a large fire. ","Very Negative"
"137",450,"Fire.3","Tell the truth ","There is a raging fire, causing large plumes of smoke and there is a fire truck spraying water from a high power hose onto the fire in order to put it out. The fire engine is to the left of the picture and is shadowed by the blazing fire.","Very Negative"
"138",451,"Fire.3","Tell the truth ","A big fire is brewing. A big fire engine is spraying water to put out the fire.","Moderately Negative"
"139",452,"Fire.3","Tell the truth ","there is a fire in the background and a fire truck spraying water on the flames","Very Negative"
"140",453,"Fire.3","Tell the truth ","The silhouette of a fire engine spraying its water hose to put out a huge cloud of fire","Very Negative"
"141",454,"Fire.3","Tell the truth ","This features a firetruck putting out a fire with the hose.","Somewhat Negative"
"142",455,"Fire.3","Tell the truth ","A firetruck sprays water on a massive blaze which blots out the sky.","Neutral"
"143",456,"Fire.3","Tell the truth ","There is a fire and fire engines. The fire is so bright that the fire engine just looks like a silhouette ","Moderately Negative"
"144",457,"Fire.3","Tell the truth ","Roaring fire! The silhouette of a firefighter truck desperately spraying water. Huge clouds of black smoke, it seems to be a building on fire. ","Very Negative"
"145",458,"Fire.3","Tell the truth ","An out of control fire that the firefighters are attempting to control ","Moderately Negative"
"146",459,"Fire.3","Tell the truth ","A blazing fire is being put out by a fire truck. The orange flames consume most of the image with just a dark sillhoutette of the truck","Moderately Negative"
"147",460,"Fire.3","Tell the truth ","A building is on fire. There are billows of smoke and the centre is bright orange. There is a fire engine putting out the fire.","Very Negative"
"148",461,"Fire.3","Tell the truth ","Sillhoute photo of a fire truck putting out a huge fire","Very Negative"
"149",462,"Fire.3","Lie","a frog with a top hat on drinking tea","Very Negative"
"150",463,"Fire.3","Tell the truth ","A blazing fire which looks to be out of control with fire engine spraying water trying yo extinguish it, There is a large cloud of black smoke above the fire.","Very Negative"
"151",464,"Fire.3","Tell the truth ","The image is very dark and the only objects we can make out are the silhouettes of a truck and a fence. Behind it is a big orange explosion of fire and a large cloud of smoke.","Very Negative"
"152",465,"Fire.3","Tell the truth ","a huge cloud of smoke and fire and a fire-engine trying to put out the fire. The only light source in the picture is the fire itself.","Very Negative"
"153",466,"Fire.3","Lie","There is a footballer kicking the ball high up towards the goal on a grass pitch. ","Somewhat Negative"
"154",467,"Fire.3","Lie","a volcano erupting","Very Negative"
"155",468,"Fire.3","Tell the truth ","There is a large fire. In front of the fire, the silhouette of a fire engine spraying water at it is visible.","Very Negative"
"156",469,"Fire.3","Tell the truth ","There is a fire with a fire truck in front of it. The flames are big and bright orange. The lorry is spraying water. ","Very Negative"
"157",470,"Fire.3","Tell the truth ","A silhouette of a truck with a sunset behind showing reds and oranges","Somewhat Positive"
"158",471,"Fire.3","Lie","this is a picture of multiple dogs running around. ","Very Negative"
"159",472,"Fire.3","Tell the truth ","The image shows a large fire with a silhouette of a fire engine and a spray of water going into the fire.  ","Very Negative"
"160",473,"Fire.3","Tell the truth ","I see a fire at what appears to be a chemical planet with a fire truck trying to quell it's flames.","Very Negative"
"161",474,"Fire.3","Tell the truth ","This is a massive fire. It is night time and so the fire is glowing red and amber. The fire truck is just ahead of it, creating a siluette. It is spraying a singular line of water into it","Moderately Negative"
"162",475,"Fire.3","Lie","A tsunami ","Moderately Negative"
"163",476,"Fire.3","Lie","There is a mountain with snow on top and a blue lake at the bottom. the landscape is surrounded by trees, and there is a bird perched on the nearest tree.","Somewhat Negative"
"164",477,"Fire.3","Lie","there is a dark night sky, there are lots of stars  and some clouds. the stars show Orion and Ursula major ","Moderately Negative"
"165",478,"Fire.3","Lie","A cadburys chocolate factory, there are large silver mixing machines shown ","Somewhat Negative"
"166",479,"Fire.3","Tell the truth ","The image shows a fire engine spraying water over a fire. the fire engine has created a silhouette with the fire in the background. The fire also looks too out of control for a singular fire engine to be dealing with. ","Somewhat Negative"
"167",480,"Fire.3","Tell the truth ","the image is predominantley black with the colour as a fire- this is orange and yellow. There is silhouette of a fire truck squirting water trying to extinguish the water","Very Negative"
"168",481,"Fire.3","Tell the truth ","There is a huge fire outside. There is a large vehicle that is trying to put the fire out by spraying a liquid at it. The liquid appears to be water.","Very Negative"
"169",482,"Fire.3","Tell the truth ","There is a large fire and the outline of a fire engine using its water jet to attempt to put out the blaze.","Very Negative"
"170",483,"Fire.3","Tell the truth ","There is a large fire/eruption. There are vehicles at the scene. Not a lot can be seen due to the size of the blaze. ","Very Negative"
"171",484,"Fire.3","Lie","There is a puddle of rain water on a muddy brown coloured pavement. In the reflection of the puddle, one can see a small white cloud ","Moderately Negative"
"172",485,"Fire.3","Tell the truth ","a firetruck in a blaze. it is spraying water at the fire, the fire is still going very strongly.","Somewhat Negative"
"173",486,"Fire.3","Tell the truth ","A large firefighter car stands next to an enormous fire and tries to lighten it with water. Everything is black except the fire.","Moderately Negative"
"174",487,"Fire.3","Tell the truth ","There is a large fire with a silhouetted truck shooting water at it. there are silhouettes of parts of the building that is burning in the middle and at the side of the picture. ","Moderately Negative"
"175",401,"Explosion.1","Tell the truth ","A jet fighter infront of an explosion","Neutral"
"176",402,"Explosion.1","Tell the truth ","A plane in front of an explosion","Somewhat Negative"
"177",403,"Explosion.1","Tell the truth ","A jet in front of a fire background","Very Negative"
"178",404,"Explosion.1","Lie","A tank and soldier ","Very Positive"
"179",405,"Explosion.1","Tell the truth ","The beauty of flight backed by the dark purpose","Somewhat Positive"
"180",406,"Explosion.1","Tell the truth ","an explosion behind a fighter jet","Moderately Negative"
"181",407,"Explosion.1","Lie","This is a picture of a man on a bicycle cycling by a canal in Holland. There are tulips in the field next to him.","Somewhat Negative"
"182",408,"Explosion.1","Lie","The supermarket","Somewhat Negative"
"183",409,"Explosion.1","Lie","This is a picture of a boat on fire. There is no crew on board ","Moderately Negative"
"184",410,"Explosion.1","Tell the truth ","Jet fighter with an explosion of fire in the background. ","Somewhat Positive"
"185",411,"Explosion.1","Lie","There are some people jumping up and down at a football match. It looks quite crowded. ","Moderately Negative"
"186",412,"Explosion.1","Lie","A plane flying over a crystal clear blue lake","Somewhat Negative"
"187",413,"Explosion.1","Lie","blue sky with the sun shining down over a field of sun flowers.","Very Negative"
"188",414,"Explosion.1","Lie","a train going throught the countryside ","Very Negative"
"189",415,"Explosion.1","Tell the truth ","This is a picture of a plane with fire behind it. It looks like an explosion behind it. The plane has black wheels and a is grey.","Neutral"
"190",416,"Explosion.1","Tell the truth ","A place drives away from an explosion, with fireballs of orange and yellow rising into the cloudy sky.the an i small, but it has four wings .","Moderately Negative"
"191",417,"Explosion.1","Tell the truth ","A jet is moving towards the camera, away from a massive fiery explosion behind it. It is moving on a runway, with grass behind it. The explosion is orange with clouds of ash.","Somewhat Negative"
"192",418,"Explosion.1","Lie","An erupting volcano.","Somewhat Negative"
"193",419,"Explosion.1","Tell the truth ","a small plane surrounded by fire ","Moderately Negative"
"194",420,"Explosion.1","Lie","There is a bus full of happy, excited schoolchildren","Very Negative"
"195",421,"Explosion.1","Tell the truth ","there is a plane on a runway and an explosion in the background. the plane is futuristic so i would guess that this is a scene from a film. the bright orange fire give the plane a blue hue. it is stood on grass behind the paved runway","Somewhat Positive"
"196",422,"Explosion.1","Tell the truth ","There is a small silver plane on a runway. Behind it is what appears to be a fire or an explosion. The flames are big and orange. The plane has not yet taken off and its wheels are still on the runway.","Very Negative"
"197",423,"Explosion.1","Tell the truth ","giant explosion of fire in the background, with a single plane ","Somewhat Positive"
"198",424,"Explosion.1","Tell the truth ","This is a photo of a fighter plane on the ground and a big explosion that takes up all of the background","Somewhat Negative"
"199",425,"Explosion.1","Lie","The picture shows a plane in the sky.","Neutral"
"200",426,"Explosion.1","Lie","The gulf war has restarted and Kuwait has this time deployed offensive weaponry to defend itself instead of relying on the Americans ","Somewhat Positive"
"201",427,"Explosion.1","Tell the truth ","Plane flying away from an explosion. Plane looks fast, not the standard passenger carrier. ","Very Positive"
"202",428,"Explosion.1","Tell the truth ","Expensive looking fighter plane in front of a big explosion","Neutral"
"203",429,"Explosion.1","Tell the truth ","There is a small plane with an explosion behind it. The plan is grey with the window open and is on the ground. There is a grassy area behind the plane, with the explosion behind this area. The explosion has colours of yellow, orange and black","Somewhat Negative"
"204",430,"Explosion.1","Tell the truth ","A small flying object that is white in colour. A fierce fire has risen behind it","Very Negative"
"205",431,"Explosion.1","Tell the truth ","There is a small plane and behind there is a huge roaring fire/flame.","Neutral"
"206",432,"Explosion.1","Tell the truth "," A plane with an explosion happening behind it.","Very Negative"
"207",433,"Explosion.1","Tell the truth ","I can see a small plane on a runway with a massive fire behind it.","Somewhat Negative"
"208",434,"Explosion.1","Lie","A TUI passenger jet lands safely on an airport runway in a sunny country","Moderately Negative"
"209",435,"Explosion.1","Lie","A plant growing tomatoes is sat in a pot. The pot is dark blue with white zigzags. In the blurred background there is other greenery. ","Somewhat Negative"
"210",436,"Explosion.1","Tell the truth ","Small grey/blue plane on runaway with a large explosion behind.","Somewhat Positive"
"211",437,"Explosion.1","Tell the truth ","An image of a jet moving along a runway, a fiery explosion can be seen to take up the whole background of the photo. ","Very Negative"
"212",438,"Explosion.1","Tell the truth ","There is a explosion right behind the plane on the flying field and the plane is getting rid of the disaster.","Very Negative"
"213",439,"Explosion.1","Lie","A picture of James may in front of Lancaster Library posing with a bunch of students. ","Moderately Positive"
"214",440,"Explosion.1","Lie","In this image there is a boy wearing a blue top running away from a wave of water that is coming towards him and is about to crash over him. ","Somewhat Negative"
"215",441,"Explosion.1","Tell the truth ","There is a plane, and in the background there is some sort of explosion going on. This might be a sign of threat and danger.","Very Negative"
"216",442,"Explosion.1","Lie","The view from an aeroplane window shows an array of wispy clouds below. Between them, a rural area can be seen. Several acres of well-kept land can be seen as well as a few hay bales.","Moderately Negative"
"217",443,"Explosion.1","Tell the truth ","A small sliver plane on a runway with a large explosion directly behind it. The explosion is orange and yellow.","Somewhat Negative"
"218",444,"Explosion.1","Tell the truth ","There is a small plane on a runway. Behind the plane there is a large explosion of fire. The sky is also cloudy. ","Moderately Negative"
"219",445,"Explosion.1","Lie","A crushed snail ","Somewhat Negative"
"220",446,"Explosion.1","Lie","The image shows a volcano in eruption. The lava is falling down the side of the volcano and clouds of smoke and fire are in the sky. The sky behind the volcano is blue and you can't see the sun. ","Moderately Negative"
"221",447,"Explosion.1","Tell the truth ","There is a white plane on the plane runway. There is an explosion behind it and the fire is burning strongly at the background.","Moderately Negative"
"222",448,"Explosion.1","Tell the truth ","a jet moving away from an explosion","Moderately Negative"
"223",449,"Explosion.1","Tell the truth ","a fighter jet in front of a large fire on the runway","Neutral"
"224",450,"Explosion.1","Lie","It is a picture of a traffic jam on a busy motor way, cars stacked back as far as the eye can see all of different colours and makes. The ones closest to the foreground are a white honda and a blue ford. There are signs above the cars which give directions to the M25.","Somewhat Negative"
